timestamp,homeid,demand_kwh,solar_kwh,price_kwh,net_load_kwh,soc_kwh,grid_import_kwh,grid_export_kwh,wasted_kwh,throughput_kwh,step_cost,action,episode
2018-06-23 11:00:00,145,0.06190972402691841,0.10383090376853943,0.04857249930500984,-0.04192117974162102,0.2657731959694308,0.0,0.04192117974162102,0.04192117974162102,0.0,0.0,2,
2018-06-23 12:00:00,145,0.08218138664960861,0.10431427508592606,0.04824500158429146,-0.022132888436317444,0.2657731959694308,0.0,0.022132888436317444,0.022132888436317444,0.0,0.0,2,
2018-06-23 13:00:00,145,0.06285139173269272,0.1231556162238121,0.04634249955415726,-0.060304224491119385,0.2657731959694308,0.0,0.060304224491119385,0.060304224491119385,0.0,0.0,2,
2018-06-23 14:00:00,145,0.10847388952970505,0.1532442271709442,0.04602750018239021,-0.044770337641239166,0.2657731959694308,0.0,0.044770337641239166,0.044770337641239166,0.0,0.0,2,
2018-06-23 15:00:00,145,0.09131889045238495,0.1408872902393341,0.045214999467134476,-0.04956839978694916,0.2657731959694308,0.0,0.04956839978694916,0.04956839978694916,0.0,0.0,2,
2018-06-23 16:00:00,145,0.062029168009757996,0.1087656244635582,0.047612499445676804,-0.0467364564538002,0.2657731959694308,0.0,0.0467364564538002,0.0467364564538002,0.0,0.0,2,
2018-06-23 17:00:00,145,0.08538222312927246,0.03822329640388489,0.057132501155138016,0.04715892672538757,0.2161322204690228,0.0,-0.0,-0.0,0.04715892672538757,4.7158926725387576e-05,2,
2018-06-23 18:00:00,145,0.06332471966743469,2.1455048423292134e-17,0.05756999924778938,0.06332471966743466,0.14947462081909157,0.0,-0.0,-0.0,0.06332471966743466,6.332471966743466e-05,2,
2018-06-23 19:00:00,145,0.07921833544969559,0.0,0.059300001710653305,0.07921833544969559,0.06608689929309622,0.0,-0.0,-0.0,0.07921833544969559,7.92183354496956e-05,2,
2018-06-23 20:00:00,145,0.06797750294208527,0.0,0.05895499885082245,0.06797750294208527,0.0,0.005194948613643863,0.0,0.0,0.0627825543284414,0.00036905074387589697,2,
